# Freq,Mag1,Mag2,V1,V2,Zr,Zi,Ar,Ai
5.597968273624029933e+01,-1.141010284825822936e+02,-1.127169423663353029e+02,1.247321968780498900e-06,1.462793013251590129e-06,5.309173332702705750e+00,6.812901255421018654e+00,7.116573391593468412e-02,-9.132214895911350272e-02
6.241292541189797305e+01,-1.294365253388164092e+02,-1.103724382723783037e+02,2.134045765052094609e-07,1.916055488756176445e-06,-1.597998477548106244e+01,3.986032920196034866e+02,-1.004146686335294212e-04,-2.504734394102544649e-03
6.958548294789355282e+01,-1.088081241002028037e+02,-1.066247010970405000e+02,2.294160461348879347e-06,2.949816094254079231e-06,-9.514930091012359981e+00,1.066113480669725178e+01,-4.659757160396463954e-02,-5.221089254285195269e-02
7.758231816784076784e+01,-1.029972215944144978e+02,-1.142006870708046051e+02,4.478874731498125187e-06,1.233092459847417036e-06,-2.420890108612455904e+01,-2.696029365475693140e+01,-1.843885961735439866e-02,2.053447482701470025e-02
8.649815791036742496e+01,-1.143259236477348963e+02,-1.056941473229720003e+02,1.215440807260671795e-06,3.283391197279843509e-06,-7.202035944495385422e+01,4.527636936003723633e+01,-9.951849631527905082e-03,-6.256336724853409428e-03
9.643861511975610767e+01,-1.200593744529864040e+02,-1.074011722345002937e+02,6.281469755134457583e-07,2.697561681779925524e-06,-1.642550729640410054e+02,1.241279275987603903e+01,-6.053521221110994173e-03,-4.574659584584795735e-04
1.075214398883947950e+02,-1.118313421051433068e+02,-1.128916177781428019e+02,1.619805578849329304e-06,1.433669700160941471e-06,-5.225154939655973330e+00,2.389616254776618209e+00,-1.582780267685008624e-01,-7.238517324519391782e-02
1.198779142703115070e+02,-1.068201439646515070e+02,-1.208941375281185060e+02,2.884182898640027266e-06,5.705886378118448246e-07,2.981690503052315577e+01,-2.682590713009268413e+01,1.853504639262562592e-02,1.667575600725621290e-02
1.336544073881144072e+02,-1.120190959178240035e+02,-1.091392027142089063e+02,1.585167646620836858e-06,2.208359937888981135e-06,1.001608941070467829e+01,-1.691369956086049697e+01,2.592187309540351647e-02,4.377304910256008680e-02
1.490141092544187131e+02,-1.069134372590335005e+02,-1.067500181900344955e+02,2.853370275312259045e-06,2.907562682176309761e-06,-1.716205555774080183e-01,-9.339660176362789556e-01,-1.903202558880514872e-01,1.035730544451635815e+00
