frequency_hz,z_real_ohm,z_imag_ohm,z_mod_ohm,z_phase_deg,delta_phase_deg
1463.36825,9785.63867975825,2.4882342023435946,9785.638996104968,0.014568830898769331,0.01449476946386951
1312.53085,9789.37624983797,0.4620045787172151,9789.376260740004,0.0027040448523981413,0.002690303916083921
1177.2411,9785.588027253012,0.6861432444280386,9785.588051308416,0.004017450139248111,0.003997027109557112
1055.8964,9790.171000542558,1.4075920340253265,9790.171101731563,0.008237760327751463,0.008195902517482536
947.059361,9795.882815744151,1.299478001774665,9795.882901935622,0.007600601807463332,0.0075620039393939475
849.440757,9789.37644854755,17.403585688816666,9789.391918611302,0.10186051819323697,0.10134290254079284
761.884237,9782.487145554374,16.853833059882113,9782.501663921421,0.09871237581537252,0.09821040627039654
683.352648,9779.800764234864,15.907110939627398,9779.813700899791,0.09319305569924344,0.0927190232400935
612.915741,9792.932752337414,15.588259849603455,9792.9451589217,0.09120258124724616,0.09073929235431262
549.739153,9791.923740403916,12.43645802074756,9791.931638005542,0.07276978379666506,0.07240009130536151
493.074522,9797.07159290342,4.317464563823439,9797.072544233579,0.025249634989881448,0.025121426153846216
442.250626,9799.722033885244,8.020483468823624,9799.725316026517,0.04689314127711439,0.046655098414918564
396.665427,9800.053522496437,8.010067502583999,9800.056796007675,0.046830658450893056,0.0465929407692309
355.778945,9798.342631968797,4.637966449679686,9798.34372964074,0.02712049304916543,0.026982802424242495
319.106857,9808.986096782502,2.2429729341454836,9808.986353227332,0.01310154578472516,0.013035101095571126
286.214762,9804.377712604848,12.63410256240479,9804.385852870655,0.07383236094157034,0.0734577442890445
256.713036,9800.108365372835,10.42071089534026,9800.113905678147,0.06092407415751728,0.0606148185314687
230.252215,9794.05611633379,11.458622952537805,9794.06281937865,0.06703355860547006,0.06669308158508179
206.518856,9791.858211081706,9.077679471110175,9791.86241887583,0.05311684067028114,0.052846989137529284
185.231824,9787.388005093722,17.863685927096245,9787.404307247523,0.10457464985645096,0.104043134685315
